sl_no,block,village_panchayat,shelter_name,plinth_area_sqft,funding_agency,source_page
85,Krushnaprasad,Alupatna,Chilika HS,2125,CMRF,105
86,Nimapara,Bamanala,Bamanala HS,2125,CMRF,105
87,Pipili,Gobindpur,Gobindpur HS,2125,CMRF,105
88,Puri Sadar,,Charishree HS,2125,CMRF,105
89,Satyabadi,Sukal,Trutiyadev Bidyaniketan,2125,CMRF,105
90,Astaranga,Nagar,MPCS,1750,German KFW/ IRCS,105
91,Astaranga,Nuagarh,MPCS,1750,German KFW/ IRCS,105
92,Kakatpur,Tentulia,MPCS,1750,German KFW / IRCS,105
93,Astaranga,Kania,Nasikeswar U.P. School,1550,IRCS,105
94,Astaranga,Kania,Saraswati Academy,1550,IRCS,105
95,Astaranga,"Udaypur, Korana",Udaypur HS,1952,CARE,105
96,Astaranga,Sudhikeswar`,Churiana MPCS,2636,CARE,105
97,Astaranga,Korana,Korana MPCS,2636,CARE,105
98,Astaranga,Sisua,Belanga MPCS,1952,CARE,105
99,Astaranga,Patalada,Timora MPCS,1952,SDC (executed by CARE),106
100,Astaranga,"Deruna, Naiguan",Deruna P.S./M.E. School,1952,SDC (executed by CARE),106
101,Astaranga,"Anakana, Chhuriana",Pipra Pry. School,2317,SDC (executed by LWS),106
102,Gop,"Ogalpur, Badatara",Ogalpur M.E. School,2317,SDC (executed by LWS),106
103,Gop,Simuli,Nuagan HS,2317,SDC (executed by LWS),106
104,Gop,Birtunga,Garhkarmal HS,2317,SDC (executed by LWS),106
105,Gop,Desthali,Suhanasasan HS,2317,SDC (executed by LWS),106
106,Astaranga,Birudi pantala,MPCS,630,OJS & XIMB,106
107,Astaranga,Dakhinapantala,MPCS,630,OJS & XIMB,106
108,Astaranga,Balipantala,MPCS,630,OJS & XIMB,106
110,Astaranga,Madhupur,MPCS,630,OJS & XIMB,106
111,Astaranga,Nampur,MPCS,630,OJS & XIMB,106
112,Astaranga,Jhadaling,MPCS,630,OJS & XIMB,106
113,Astaranga,Damasuna,MPCS,630,OJS & XIMB,106
114,Astaranga,Bahudiha,MPCS,630,OJS & XIMB,106
115,Astaranga,Gandalaba,MPCS,630,OJS & XIMB,106
118,Brahmagiri,Brahmagiri,Brahmagiri H.S.,2227,NFCR/CRF,107
119,Astaranga,Nua Kaliakana,MPCS,630,OJS & XIMB,106
119,Brahmagiri,Rebana Nuagan,Rebana Nuagaon HS,2227,NFCR/CRF,107
120,Delanga,,Sadangoi HS,2227,NFCR/CRF,107
121,Delanga,Delanga,Mahatab HS,2227,NFCR/CRF,107
122,Delanga,Station Bazar,R.K. Bidyapitha,2227,NFCR/CRF,107
123,Delanga,Gangapur Patana,R.M. Bidyapitha,2227,NFCR/CRF,107
124,Nimapara,Balanga,107ota107za Girls’ HS,2227,NFCR/CRF,107
125,Nimapara,Amareswar,Amareswar HS,2227,NFCR/CRF,107
126,Kanas,Kanas,Govt. HS,2227,NFCR/CRF,107
127,Kanas,Olhan,G.B. HIGH SCHOOL,2227,NFCR/CRF,107
128,Pipili,Dandmukundpur,G.M. HIGH SCHOOL,2227,NFCR/CRF,107
129,Pipili,Kanti,Kanti G.P. HS,2227,NFCR/CRF,107
130,Pipili,Sampur,Astasambhu HS,2227,NFCR/CRF,107
131,Pipili,107ota Sahi,Utkalmani S Bidyapitha,2227,NFCR/CRF,107
132,Puri Sadar,Sundar,Tarayan HS,2227,NFCR/CRF,107
133,Puri Sadar,Sasan damodarpur,Ramahari Bidyapitha,2227,NFCR/CRF,107
134,Satyabadi,Satyabadi,Raichakradharpur HS,2227,NFCR/CRF,107
135,Satyabadi,Gabakunda,Jayadurga HS,2227,NFCR/CRF,107
136,Gop,Nagapur,Nagarpur HS,3347,MPLAD,107
137,Pipili,Pipli,Jawahar Bidyapitha,3228,MPLAD,107
138,Pipili,Pipli,Pipli HS,3196,MPLAD,107
139,Puri Sadar,Chandanpur,MG Hogh School,3648,MPLAD,107
140,Satyabadi,Sakhigopal,Satyabadi HS,3207,MPLAD,107
141,Delanga,Gadamotari,Biswanath Dev HS,,MPLAD,107
142,Nimapara,Balanga,Govt. HS Balanga,,MPLAD,107
143,Kakatpur,Bangurigan Pr.S.,Bangurigan Pr. S.,,UNICEF,107
144,Kakatpur,Lataharana,Amunihapayna Pr.S.,,UNICEF,107
145,Kakatpur,Othaka,Somnathpur Pr. S.,,UNICEF,107
148,Krushnaprasad,Satapara,Satapada Village,2000,OSDMA,108
149,Krushnaprasad,Arakhakuda,Manikpatna Village,3000,OSDMA,108
150,Krushnaprasad,Arakhakuda,Gopinathpur Village,2000,OSDMA,108
151,Krushnaprasad,Siandi,Siandi villaje,1000,OSDMA,108
152,Krushnaprasad,Bajrakot,Talatala Village,1000,OSDMA,108
153,Krushnaprasad,Ramalenka,Kumarpara Village,1000,OSDMA,108
154,Krushnaprasad,Panaspada,Panaspada Village,3000,OSDMA,108
155,Krushnaprasad,Berhampur,Berhampur Village,,OSDMA,108
156,Krushnaprasad,Malud,Malud Village,,OSDMA,108
157,Krushnaprasad,Nuapada,Nuapada Village,,OSDMA,108
158,Astaranga,Talada,Talada Village,,OSDMA,108
159,Brahmagiri,Ambapada,Ambapada Village,,OSDMA,108
160,Kakatpur,Abadan,Singarpal Village,,OSDMA,108
161,Puri Sadar,Baliguali,Beladala Village,1000,OSDMA,108
162,Puri Sadar,Baliput,Baliput Village,,OSDMA,108
163,Puri Sadar,Puri Municipality,Penthakota,,OSDMA,108
164,Nimapara,Charichhak,Charichhak HS,,Govt. of Maharashtr a,108
165,Nimapara,"Thakurpatna, Kalapanchan",Ratnapur HS,,Govt. of Maharashtr a,108
166,Puri Sadar,Brahmagiri,Bentapur,Satikapuri (Nagochhia Chaka),MCS,108
167,Puri Sadar,Brahmagiri,Champamanik,Champamanik,MCS,108
168,Puri Sadar,Brahmagiri,Gorual,Balabhadrapur Patna,MCS,108
169,Puri Sadar,Brahmagiri,Bentapur,Matamatpur,MCS,108
171,Puri Sadar,Krushnaprasad,Malud,Fatepur,MCS,109
172,Puri Sadar,Krushnaprasad,Gomundia,Gomundia,MCS,109
173,Puri Sadar,Krushnaprasad,Siala,Morada,MCS,109
174,Puri Sadar,Krushnaprasad,Siala,Siala,MCS,109
175,Puri Sadar,Puri Sadar,Hantak,Hantak,MCS,109
176,Puri Sadar,Puri Sadar,Jamarsuan,Jamarsuan,MCS,109
177,Puri Sadar,Puri Sadar,Chalisibatia,Kantashila,MCS,109
178,Puri Sadar,Kanas,Deipur,Deipur,MCS,109
179,Puri Sadar,Kanas,Kadua,Sahaspur,MCS,109
180,Puri Sadar,Kanas,Deipur,Gadakharada-I,MCS,109
181,Puri Sadar,Pipili,Kanti,Kakudia,MFS,109
182,Puri Sadar,Astaranga,Korana,Bandarikaral,MFS,109
183,Puri Sadar,Astaranga,Korana,Ratanpur,MCS,109
184,Puri Sadar,Astaranga,Kendarapati,Namaro,MCS,109
185,Puri Sadar,Astaranga,Sarifpur,Kundeswar,MCS,109
186,Puri Sadar,Gop,Baniasahi,Inchula,MCS,109
187,Puri Sadar,Gop,Bantiligaon,Tarahan,MCS,109
